No;DATA;HORA;INCIDENTE;SEXO;IDADE;MUNICÍPIO
43752302;30/11/2020;23:38;HOMICÍDIO DOLOSO;F;22;GUARAPARI
43752891;01/12/2020;06:08;HOMICÍDIO DOLOSO;M;26;SERRA
43752891;01/12/2020;06:08;HOMICÍDIO DOLOSO;F;30;SERRA
43758189;01/12/2020;19:20;HOMICÍDIO DOLOSO;M;16;BAIXO GUANDU
43752640;01/12/2020;02:03;LATROCÍNIO;M;55;JOAO NEIVA
43759494;02/12/2020;00:25;HOMICÍDIO DOLOSO;M;31;VILA VELHA
43759904;02/12/2020;05:28;HOMICÍDIO DOLOSO;M;38;PRESIDENTE KENNEDY
43762885;02/12/2020;13:38;HOMICÍDIO DOLOSO;M;27;SERRA
43765391;02/12/2020;18:53;HOMICÍDIO DOLOSO;F;2;LINHARES
43765391;02/12/2020;18:53;HOMICÍDIO DOLOSO;F;45;LINHARES
43767710;03/12/2020;07:05;HOMICÍDIO DOLOSO;M;32;PEDRO CANARIO
43777939;04/12/2020;00:00;HOMICÍDIO DOLOSO;M;23;VITORIA
43774660;04/12/2020;01:27;HOMICÍDIO DOLOSO;M;null;CACHOEIRO DE ITAPE
43776281;04/12/2020;10:25;HOMICÍDIO DOLOSO;M;64;CONCEICAO DA BARR
43777831;04/12/2020;14:01;HOMICÍDIO DOLOSO;M;19;VITORIA
43780154;04/12/2020;19:22;HOMICÍDIO DOLOSO;M;;CARIACICA
43783640;05/12/2020;09:03;HOMICÍDIO DOLOSO;M;41;SERRA
43788374;05/12/2020;21:36;HOMICÍDIO DOLOSO;F;40;BAIXO GUANDU
43783062;05/12/2020;05:33;LATROCÍNIO;F;21;CARIACICA
43789455;06/12/2020;00:19;HOMICÍDIO DOLOSO;M;34;VILA VELHA
43789489;06/12/2020;00:24;HOMICÍDIO DOLOSO;F;28;IBATIBA
43794791;06/12/2020;18:47;HOMICÍDIO DOLOSO;M;48;VITORIA
43796786;07/12/2020;01:05;HOMICÍDIO DOLOSO;M;24;VITORIA
43798111;07/12/2020;07:10;HOMICÍDIO DOLOSO;M;36;VILA VALERIO
43798385;07/12/2020;09:52;HOMICÍDIO DOLOSO;M;19;CARIACICA
43803894;07/12/2020;21:25;HOMICÍDIO DOLOSO;M;34;SERRA
43809842;08/12/2020;18:04;HOMICÍDIO DOLOSO;M;25;SERRA
43811068;08/12/2020;21:06;HOMICÍDIO DOLOSO;M;54;BAIXO GUANDU
43818166;09/12/2020;20:20;HOMICÍDIO DOLOSO;M;24;RIO NOVO DO SUL
43831798;11/12/2020;18:39;HOMICÍDIO DOLOSO;M;48;AGUIA BRANCA
43832080;11/12/2020;19:18;HOMICÍDIO DOLOSO;M;null;PEDRO CANARIO
43834202;12/12/2020;01:08;HOMICÍDIO DOLOSO;M;31;GUARAPARI
43837699;12/12/2020;15:16;HOMICÍDIO DOLOSO;M;19;CARIACICA
43838043;12/12/2020;16:10;HOMICÍDIO DOLOSO;M;46;IUNA
43842394;13/12/2020;03:48;HOMICÍDIO DOLOSO;F;23;LINHARES
43844200;13/12/2020;06:10;HOMICÍDIO DOLOSO;M;null;BAIXO GUANDU
43847447;13/12/2020;21:08;HOMICÍDIO DOLOSO;M;22;SERRA
43845353;13/12/2020;15:53;HOMICÍDIO DOLOSO;M;2;SAO GABRIEL DA PALH
43853047;14/12/2020;16:39;HOMICÍDIO DOLOSO;M;20;SERRA
43858230;15/12/2020;12:15;HOMICÍDIO DOLOSO;F;31;GUACUI
43863102;16/12/2020;04:08;HOMICÍDIO DOLOSO;M;40;GUARAPARI
43863388;16/12/2020;07:06;HOMICÍDIO DOLOSO;M;49;VILA VELHA
43863564;16/12/2020;07:53;HOMICÍDIO DOLOSO;M;23;CARIACICA
43876400;17/12/2020;23:09;HOMICÍDIO DOLOSO;M;20;RIO NOVO DO SUL
43875898;17/12/2020;21:29;LESÃO CORPORAL SEGUI;MA DE;3O0RTE;CARIACICA
43883426;18/12/2020;22:19;HOMICÍDIO DOLOSO;F;19;SAO MATEUS
43883426;18/12/2020;22:19;HOMICÍDIO DOLOSO;M;23;SAO MATEUS
43883657;18/12/2020;22:30;HOMICÍDIO DOLOSO;M;39;CONCEICAO DA BARR
43884297;18/12/2020;23:30;HOMICÍDIO DOLOSO;M;null;BAIXO GUANDU
43884016;18/12/2020;23:50;HOMICÍDIO DOLOSO;M;25;ARACRUZ
43884919;19/12/2020;00:05;HOMICÍDIO DOLOSO;M;16;PINHEIROS
43889164;19/12/2020;18:16;HOMICÍDIO DOLOSO;M;36;PIUMA
43890252;19/12/2020;20:52;HOMICÍDIO DOLOSO;M;35;ARACRUZ
43890330;19/12/2020;21:02;HOMICÍDIO DOLOSO;M;54;SERRA
43885650;19/12/2020;08:40;HOMICÍDIO DOLOSO;M;51;AFONSO CLAUDIO
43895353;20/12/2020;16:44;HOMICÍDIO DOLOSO;M;28;VITORIA
43895898;20/12/2020;18:07;HOMICÍDIO DOLOSO;M;32;SERRA
43898455;21/12/2020;01:59;HOMICÍDIO DOLOSO;M;;BOA ESPERANCA
43898621;21/12/2020;03:38;HOMICÍDIO DOLOSO;M;29;LINHARES
43898666;21/12/2020;04:13;HOMICÍDIO DOLOSO;M;43;LINHARES
43905349;21/12/2020;20:56;HOMICÍDIO DOLOSO;M;24;CARIACICA
43896847;21/12/2020;20:33;HOMICÍDIO DOLOSO;M;54;VITORIA
43906486;22/12/2020;02:23;HOMICÍDIO DOLOSO;M;45;MANTENOPOLIS
43913013;22/12/2020;21:11;HOMICÍDIO DOLOSO;M;16;JAGUARE
43913013;22/12/2020;21:11;HOMICÍDIO DOLOSO;M;40;JAGUARE
43906384;23/12/2020;01:07;HOMICÍDIO DOLOSO;M;28;SOORETAMA
43922047;24/12/2020;08:22;HOMICÍDIO DOLOSO;M;;JAGUARE
43926930;24/12/2020;20:25;HOMICÍDIO DOLOSO;M;;LINHARES
43926993;24/12/2020;20:35;HOMICÍDIO DOLOSO;M;16;JAGUARE
43930285;25/12/2020;07:42;HOMICÍDIO DOLOSO;M;35;SERRA
43935874;25/12/2020;22:00;HOMICÍDIO DOLOSO;M;24;SAO GABRIEL DA PALH
43926649;25/12/2020;19:41;HOMICÍDIO DOLOSO;M;18;CARIACICA
43930466;25/12/2020;08:51;LESÃO CORPORAL SEGUI;MA DE;2O3RTE;SERRA
43940778;26/12/2020;18:51;HOMICÍDIO DOLOSO;M;28;LINHARES
43944118;27/12/2020;08:32;HOMICÍDIO DOLOSO;M;24;ITAPEMIRIM
43944118;27/12/2020;08:32;HOMICÍDIO DOLOSO;M;26;ITAPEMIRIM
43944413;27/12/2020;09:49;HOMICÍDIO DOLOSO;M;21;VIANA
43943278;27/12/2020;23:40;HOMICÍDIO DOLOSO;M;null;AGUIA BRANCA
43949056;28/12/2020;00:07;HOMICÍDIO DOLOSO;M;26;VIANA
43953082;28/12/2020;12:00;HOMICÍDIO DOLOSO;M;26;BOA ESPERANCA
43952108;28/12/2020;12:51;HOMICÍDIO DOLOSO;F;;SERRA
43953462;28/12/2020;15:38;HOMICÍDIO DOLOSO;M;43;VILA VELHA
43955502;28/12/2020;19:59;HOMICÍDIO DOLOSO;M;21;GUARAPARI
43956948;29/12/2020;01:21;HOMICÍDIO DOLOSO;M;20;GUACUI
43963104;29/12/2020;16:10;HOMICÍDIO DOLOSO;M;32;SAO GABRIEL DA PALH
43961302;29/12/2020;16:50;HOMICÍDIO DOLOSO;M;59;CARIACICA
43963351;29/12/2020;22:16;HOMICÍDIO DOLOSO;F;27;PIUMA
43970170;30/12/2020;20:36;HOMICÍDIO DOLOSO;M;52;CARIACICA
43974873;31/12/2020;13:49;HOMICÍDIO DOLOSO;M;;SANTA LEOPOLDINA
43976716;31/12/2020;18:07;HOMICÍDIO DOLOSO;M;16;CARIACICA
INCIDENTE;QUANT;;;;;
TOTAL;1162;;;;;
